State,District,Season,Year,Crop,Area_Ha,Production_Ton,Yield_TonHa
Gujarat,Aravalli,Whole Year,2016 - 2017,Guar seed,6285.0,4191.0,0.67
Gujarat,Aravalli,Kharif,2016 - 2017,Moong(Green Gram),999.0,453.0,0.45
Gujarat,Aravalli,Kharif,2016 - 2017,Moth,7.0,3.0,0.43
Gujarat,Aravalli,Rabi,2016 - 2017,Rapeseed &Mustard,1713.0,2663.0,1.55
Gujarat,Aravalli,Kharif,2016 - 2017,Rice,1487.0,3508.0,2.36
Gujarat,Aravalli,Kharif,2016 - 2017,Sesamum,836.0,446.0,0.53
Gujarat,Aravalli,Kharif,2016 - 2017,Urad,10480.0,7232.0,0.69
Gujarat,Aravalli,Rabi,2016 - 2017,Wheat,64450.0,153547.0,2.38
Gujarat,Aravalli,Whole Year,2016 - 2017,Potato,21870.0,619793.0,28.34
Gujarat,Aravalli,Rabi,2016 - 2017,Onion,360.0,9377.0,26.05
Gujarat,Aravalli,Kharif,2016 - 2017,Soyabean,15646.0,16898.0,1.08
Gujarat,Aravalli,Whole Year,2016 - 2017,Garlic,220.0,1125.0,5.11
Gujarat,Aravalli,Kharif,2016 - 2017,Maize,33965.0,62816.0,1.85
Gujarat,Aravalli,Rabi,2016 - 2017,Maize,7590.0,21252.0,2.8
Gujarat,Aravalli,Kharif,2017 - 2018,Arhar/Tur,7206.0,4790.0,0.66
Gujarat,Aravalli,Kharif,2017 - 2018,Bajra,800.0,797.0,1.0
Gujarat,Aravalli,Kharif,2017 - 2018,Castor seed,27400.0,99872.0,3.64
Gujarat,Aravalli,Kharif,2017 - 2018,Cotton(lint),39884.0,132798.0,3.33
Gujarat,Aravalli,Rabi,2017 - 2018,Gram,2970.0,2040.0,0.69
Gujarat,Aravalli,Kharif,2017 - 2018,Groundnut,41908.0,110877.0,2.65
Gujarat,Aravalli,Whole Year,2017 - 2018,Guar seed,3241.0,2156.0,0.67
Gujarat,Aravalli,Kharif,2017 - 2018,Moong(Green Gram),1203.0,683.0,0.57
Gujarat,Aravalli,Kharif,2017 - 2018,Other Kharif pulses,130.0,95.0,0.73
Gujarat,Aravalli,Rabi,2017 - 2018,Rapeseed &Mustard,1277.0,2050.0,1.61
Gujarat,Aravalli,Kharif,2017 - 2018,Rice,1208.0,2930.0,2.43
Gujarat,Aravalli,Kharif,2017 - 2018,Sesamum,275.0,160.0,0.58
Gujarat,Aravalli,Rabi,2017 - 2018,Tobacco,800.0,2787.0,3.48
Gujarat,Aravalli,Kharif,2017 - 2018,Urad,7393.0,4717.0,0.64
Gujarat,Aravalli,Rabi,2017 - 2018,Wheat,65250.0,158392.0,2.43
Gujarat,Aravalli,Whole Year,2017 - 2018,Potato,20320.0,539482.0,26.55
Gujarat,Aravalli,Rabi,2017 - 2018,Onion,637.0,18268.0,28.68
Gujarat,Aravalli,Kharif,2017 - 2018,Soyabean,16727.0,20741.0,1.24
Gujarat,Aravalli,Whole Year,2017 - 2018,Garlic,450.0,3130.0,6.96
Gujarat,Aravalli,Kharif,2017 - 2018,Maize,30566.0,41055.0,1.34
Gujarat,Aravalli,Rabi,2017 - 2018,Maize,8675.0,27760.0,3.2
Gujarat,Aravalli,Rabi,2017 - 2018,Jowar,290.0,383.0,1.32
