State,District,Season,Year,Crop,Area_Ha,Production_Ton,Yield_TonHa,Start_Year,District_norm,State_norm,latitude,longitude,soil_ph,soil_oc,clay_pct,sand_pct,cec_cmol,avg_temp,humidity_avg,rain_total,solar_avg
Gujarat,Ahmadabad,Kharif,2016 - 2017,Groundnut,78.0,128.0,1.64,2016,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.350983606557374,67.97868852459015,501.41999999999996,17.628606557377054
Gujarat,Ahmadabad,Whole Year,2016 - 2017,Guar seed,5248.0,3499.0,0.67,2016,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,28.084644808743167,45.399890710382515,551.92,19.40161202185792
Gujarat,Ahmadabad,Kharif,2016 - 2017,Moong(Green Gram),6470.0,2937.0,0.45,2016,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.350983606557374,67.97868852459015,501.41999999999996,17.628606557377054
Gujarat,Ahmadabad,Kharif,2016 - 2017,Moth,6194.0,2535.0,0.41,2016,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.350983606557374,67.97868852459015,501.41999999999996,17.628606557377054
Gujarat,Ahmadabad,Kharif,2016 - 2017,Other Kharif pulses,70.0,61.0,0.87,2016,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.350983606557374,67.97868852459015,501.41999999999996,17.628606557377054
Gujarat,Ahmadabad,Rabi,2016 - 2017,Rapeseed &Mustard,514.0,910.0,1.77,2016,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,24.306868131868132,34.76587912087912,49.12,18.69241758241758
Gujarat,Ahmadabad,Kharif,2016 - 2017,Rice,119870.0,311998.0,2.6,2016,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.350983606557374,67.97868852459015,501.41999999999996,17.628606557377054
Gujarat,Ahmadabad,Kharif,2016 - 2017,Sesamum,1314.0,702.0,0.53,2016,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.350983606557374,67.97868852459015,501.41999999999996,17.628606557377054
Gujarat,Ahmadabad,Kharif,2016 - 2017,Tobacco,80.0,157.0,1.96,2016,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.350983606557374,67.97868852459015,501.41999999999996,17.628606557377054
Gujarat,Ahmadabad,Kharif,2016 - 2017,Urad,8724.0,5303.0,0.61,2016,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.350983606557374,67.97868852459015,501.41999999999996,17.628606557377054
Gujarat,Ahmadabad,Rabi,2016 - 2017,Wheat,145858.0,327496.0,2.25,2016,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,24.306868131868132,34.76587912087912,49.12,18.69241758241758
Gujarat,Ahmadabad,Whole Year,2016 - 2017,Potato,46.0,1180.0,25.65,2016,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,28.084644808743167,45.399890710382515,551.92,19.40161202185792
Gujarat,Ahmadabad,Rabi,2016 - 2017,Onion,63.0,1641.0,26.05,2016,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,24.306868131868132,34.76587912087912,49.12,18.69241758241758
Gujarat,Ahmadabad,Whole Year,2016 - 2017,Dry chillies,41.0,40.0,0.98,2016,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,28.084644808743167,45.399890710382515,551.92,19.40161202185792
Gujarat,Ahmadabad,Whole Year,2016 - 2017,Garlic,32.0,164.0,5.13,2016,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,28.084644808743167,45.399890710382515,551.92,19.40161202185792
Gujarat,Ahmadabad,Kharif,2016 - 2017,Maize,30.0,50.0,1.67,2016,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.350983606557374,67.97868852459015,501.41999999999996,17.628606557377054
Gujarat,Ahmadabad,Kharif,2017 - 2018,Arhar/Tur,1823.0,2266.0,1.24,2017,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,29.285737704918034,76.14926229508195,848.52,17.072622950819675
Gujarat,Ahmadabad,Kharif,2017 - 2018,Bajra,1243.0,2506.0,2.02,2017,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,29.285737704918034,76.14926229508195,848.52,17.072622950819675
Gujarat,Ahmadabad,Kharif,2017 - 2018,Castor seed,49915.0,90783.0,1.82,2017,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,29.285737704918034,76.14926229508195,848.52,17.072622950819675
Gujarat,Ahmadabad,Kharif,2017 - 2018,Cotton(lint),105422.0,276885.0,2.63,2017,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,29.285737704918034,76.14926229508195,848.52,17.072622950819675
Gujarat,Ahmadabad,Rabi,2017 - 2018,Gram,42968.0,44682.0,1.04,2017,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,24.465219780219776,35.83664835164836,9.61,17.777087912087914
Gujarat,Ahmadabad,Kharif,2017 - 2018,Groundnut,104.0,254.0,2.44,2017,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,29.285737704918034,76.14926229508195,848.52,17.072622950819675
Gujarat,Ahmadabad,Whole Year,2017 - 2018,Guar seed,5154.0,3428.0,0.67,2017,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,27.49095890410959,48.493342465753436,860.9000000000001,19.208027397260274
Gujarat,Ahmadabad,Kharif,2017 - 2018,Moong(Green Gram),3910.0,2221.0,0.57,2017,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,29.285737704918034,76.14926229508195,848.52,17.072622950819675
Gujarat,Ahmadabad,Kharif,2017 - 2018,Moth,7038.0,5103.0,0.73,2017,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,29.285737704918034,76.14926229508195,848.52,17.072622950819675
Gujarat,Ahmadabad,Kharif,2017 - 2018,Other Kharif pulses,15.0,13.0,0.87,2017,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,29.285737704918034,76.14926229508195,848.52,17.072622950819675
Gujarat,Ahmadabad,Rabi,2017 - 2018,Rapeseed &Mustard,474.0,857.0,1.81,2017,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,24.465219780219776,35.83664835164836,9.61,17.777087912087914
Gujarat,Ahmadabad,Kharif,2017 - 2018,Rice,117955.0,253359.0,2.15,2017,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,29.285737704918034,76.14926229508195,848.52,17.072622950819675
Gujarat,Ahmadabad,Kharif,2017 - 2018,Sesamum,894.0,403.0,0.45,2017,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,29.285737704918034,76.14926229508195,848.52,17.072622950819675
Gujarat,Ahmadabad,Rabi,2017 - 2018,Tobacco,113.0,394.0,3.49,2017,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,24.465219780219776,35.83664835164836,9.61,17.777087912087914
Gujarat,Ahmadabad,Kharif,2017 - 2018,Urad,9538.0,6057.0,0.64,2017,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,29.285737704918034,76.14926229508195,848.52,17.072622950819675
Gujarat,Ahmadabad,Rabi,2017 - 2018,Wheat,149384.0,322047.0,2.16,2017,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,24.465219780219776,35.83664835164836,9.61,17.777087912087914
Gujarat,Ahmadabad,Rabi,2017 - 2018,Other Rabi pulses,20.0,16.0,0.8,2017,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,24.465219780219776,35.83664835164836,9.61,17.777087912087914
Gujarat,Ahmadabad,Whole Year,2017 - 2018,Potato,52.0,1439.0,27.67,2017,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,27.49095890410959,48.493342465753436,860.9000000000001,19.208027397260274
Gujarat,Ahmadabad,Rabi,2017 - 2018,Onion,120.0,3441.0,28.68,2017,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,24.465219780219776,35.83664835164836,9.61,17.777087912087914
Gujarat,Ahmadabad,Kharif,2017 - 2018,Soyabean,2.0,2.0,1.0,2017,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,29.285737704918034,76.14926229508195,848.52,17.072622950819675
Gujarat,Ahmadabad,Whole Year,2017 - 2018,Garlic,10.0,70.0,7.0,2017,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,27.49095890410959,48.493342465753436,860.9000000000001,19.208027397260274
Gujarat,Ahmadabad,Rabi,2017 - 2018,Maize,1001.0,2278.0,2.28,2017,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,24.465219780219776,35.83664835164836,9.61,17.777087912087914
Gujarat,Ahmadabad,Rabi,2017 - 2018,Jowar,407.0,538.0,1.32,2017,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,24.465219780219776,35.83664835164836,9.61,17.777087912087914
Gujarat,Ahmadabad,Kharif,2018 - 2019,Arhar/Tur,1218.0,1472.0,1.21,2018,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.270573770491804,66.95754098360655,477.03,16.61016393442623
Gujarat,Ahmadabad,Kharif,2018 - 2019,Bajra,1154.0,1528.0,1.32,2018,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.270573770491804,66.95754098360655,477.03,16.61016393442623
Gujarat,Ahmadabad,Kharif,2018 - 2019,Castor seed,54716.0,101379.0,1.85,2018,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.270573770491804,66.95754098360655,477.03,16.61016393442623
Gujarat,Ahmadabad,Kharif,2018 - 2019,Cotton(lint),103200.0,179965.0,1.74,2018,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.270573770491804,66.95754098360655,477.03,16.61016393442623
Gujarat,Ahmadabad,Rabi,2018 - 2019,Gram,37344.0,27278.0,0.73,2018,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,23.993461538461535,28.931538461538466,0.21000000000000002,18.595164835164834
Gujarat,Ahmadabad,Kharif,2018 - 2019,Groundnut,35.0,48.0,1.37,2018,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.270573770491804,66.95754098360655,477.03,16.61016393442623
Gujarat,Ahmadabad,Whole Year,2018 - 2019,Guar seed,3288.0,2466.0,0.75,2018,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,28.363013698630137,41.54013698630137,477.09000000000003,19.07150684931507
Gujarat,Ahmadabad,Kharif,2018 - 2019,Moong(Green Gram),2895.0,402.0,0.14,2018,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.270573770491804,66.95754098360655,477.03,16.61016393442623
Gujarat,Ahmadabad,Kharif,2018 - 2019,Moth,3260.0,590.0,0.18,2018,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.270573770491804,66.95754098360655,477.03,16.61016393442623
Gujarat,Ahmadabad,Rabi,2018 - 2019,Rapeseed &Mustard,378.0,674.0,1.78,2018,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,23.993461538461535,28.931538461538466,0.21000000000000002,18.595164835164834
Gujarat,Ahmadabad,Kharif,2018 - 2019,Rice,113463.0,149704.0,1.32,2018,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.270573770491804,66.95754098360655,477.03,16.61016393442623
Gujarat,Ahmadabad,Kharif,2018 - 2019,Sesamum,522.0,282.0,0.54,2018,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.270573770491804,66.95754098360655,477.03,16.61016393442623
Gujarat,Ahmadabad,Kharif,2018 - 2019,Tobacco,15.0,28.0,1.87,2018,ahmadabad,gujarat,22.75794003300004,72.29946762308398,7.3,19.0,28.9,32.9,28.5,30.270573770491804,66.95754098360655,477.03,16.61016393442623
