State,District,Latitude,Longitude
Andaman and Nicobar,Nicobar Islands,6.9993205000000955,93.80996300000015
Andaman and Nicobar,North and Middle Andaman,12.611581000000058,92.83169614372066
Andaman and Nicobar,South Andaman,10.704417500500057,92.48900382928906
Andhra Pradesh,Anantapur,14.450161456500126,77.50173184791102
Andhra Pradesh,Chittoor,13.298326015500066,78.96864866325353
Andhra Pradesh,East Godavari,17.157779693500146,82.04148559917877
Andhra Pradesh,Guntur,16.27902507850007,80.17397535344088
Andhra Pradesh,Krishna,16.424221052000092,81.04232698551988
Andhra Pradesh,Kurnool,15.547431469000173,77.89848486777385
Andhra Pradesh,Nellore,14.305414200000001,79.76925677256642
Andhra Pradesh,Prakasam,15.627085686500095,79.50671631924888
Andhra Pradesh,Srikakulam,18.616110801500128,83.96162678522546
Andhra Pradesh,Visakhapatnam,17.892222405500092,82.55751755807307
Andhra Pradesh,Vizianagaram,18.485771179000096,83.30363962670134
Andhra Pradesh,West Godavari,16.902246475500135,81.3384700751933
Andhra Pradesh,Y.S.R.,14.471055031000077,78.650384671643
Arunachal Pradesh,Anjaw,27.897497010500018,96.67827050456259
Arunachal Pradesh,Anjaw,28.10480202450003,96.91405992483215
Arunachal Pradesh,Changlang,27.275369645000126,96.0618672945215
Arunachal Pradesh,Dibang Valley,29.012825012500144,95.71287035556594
Arunachal Pradesh,East Kameng,27.32793521850013,93.05066474801248
Arunachal Pradesh,East Siang,27.983739853000145,95.40362977792925
Arunachal Pradesh,East Siang,28.150831222500102,95.05498751159564
Arunachal Pradesh,Kurung Kumey,27.98367023450001,93.2846114192787
Arunachal Pradesh,Lohit,27.904288292000132,96.2280593610555
Arunachal Pradesh,Lohit,28.255230903500063,96.2823607945268
Arunachal Pradesh,Longding,26.884716034500116,95.29816468935982
Arunachal Pradesh,Lower Dibang Valley,28.089575767000042,95.78119878840903
Arunachal Pradesh,Lower Dibang Valley,28.45898914300011,95.83227463174745
Arunachal Pradesh,Lower Subansiri,27.68060588950013,93.84734368387515
Arunachal Pradesh,Namsai,27.663399697000102,95.87523541814836
Arunachal Pradesh,Papum Pare,27.289765358500148,93.62194394165967
Arunachal Pradesh,Tawang,27.661357880000168,91.9225268637
Arunachal Pradesh,Tirap,27.05229568450008,95.51718169251673
Arunachal Pradesh,Upper Siang,28.749830246500153,95.0092565335633
Arunachal Pradesh,Upper Subansiri,28.234260558500125,94.10393976539439
Arunachal Pradesh,West Kameng,27.433209419000093,92.42499900752324
Arunachal Pradesh,West Siang,28.28466510800004,94.65362587770932
Assam,Baksa,26.649800300500175,91.45433561786683
Assam,Barpeta,26.376476287500054,91.05235564396247
Assam,Bongaigaon,26.341150284500145,90.62844120469919
Assam,Cachar,24.758840561500108,92.88276415903032
Assam,Chirang,26.599430085000165,90.70637890542878
Assam,Darrang,26.4393548970001,92.00523709877987
Assam,Dhemaji,27.583755493500092,94.69885188825378
Assam,Dhubri,25.978347779000075,90.00790003321907
Assam,Dibrugarh,27.407401085000146,94.99652259576075
Assam,Dima Hasao,25.39655017900003,93.08352871779789
Assam,Goalpara,26.0560998925001,90.58357476762681
Assam,Golaghat,26.374380112000097,94.01154419835679
Assam,Hailakandi,24.50878143350016,92.6318427741574
Assam,Jorhat,26.769845008500027,94.2611343733438
Assam,Kamrup,26.13909053850017,91.22387934388816
Assam,Kamrup Metropolitan,26.125883102500126,91.9014650760747
Assam,Karbi Anglong,25.85411071750005,92.59205143607815
Assam,Karimganj,24.58254718800015,92.37312920914266
Assam,Kokrajhar,26.600319863000152,90.21053546904812
Assam,Lakhimpur,27.17432498950012,94.19298877265335
Assam,Morigaon,26.29102134700011,92.28997842106489
Assam,Nagaon,26.208350182000117,92.61830377444917
Assam,Nalbari,26.36001110100011,91.39815704971228
Assam,Sivasagar,26.99907016800003,94.80543828866931
Assam,Sonitpur,26.767624855500117,92.99531015484077
Assam,Tinsukia,27.6038656235001,95.5694613445198
Assam,Udalguri,26.71033668600012,92.0354516141106
Bihar,Araria,26.26527137250008,87.3558099045051
Bihar,Arwal,25.186471940000104,84.66687533052439
Bihar,Aurangabad,24.807410241000014,84.4068228023863
Bihar,Banka,24.830801964500154,86.81193133996247
Bihar,Begusarai,25.51266479500015,86.08318260849589
Bihar,Bhagalpur,25.28542900050013,87.12744575784413
Bihar,Bhojpur,25.454040528000093,84.55646191787193
Bihar,Buxar,25.508681297000066,84.10035460645051
Bihar,Darbhanga,26.157121658500046,86.02572554103705
Bihar,Gaya,24.680480003000127,85.00366320279412
Bihar,Gopalganj,26.423450470000063,84.36565793033263
Bihar,Jamui,24.756945610000145,86.29717878332755
Bihar,Jehanabad,25.15310764350002,85.0220601313107
Bihar,Kaimur,24.97701931000003,83.57041930623002
Bihar,Katihar,25.542730331500053,87.63829351557385
Bihar,Khagaria,25.49160480600017,86.6952504823629
Bihar,Kishanganj,26.24430751,87.89940431439103
Bihar,Lakhisarai,25.161595344000148,86.18677184520593
Bihar,Madhepura,25.782938957500136,86.93032214160891
Bihar,Madhubani,26.357290267500105,86.21706971538305
Bihar,Munger,25.22240543400008,86.51932230957377
Bihar,Muzaffarpur,26.146969796000064,85.32698262393578
Bihar,Nalanda,25.215010643500136,85.44583540431495
Bihar,Nawada,24.81800270150012,85.51701354333319
Bihar,Pashchim Champaran,27.052584648000078,84.33096786238221
